source,target,repo,commit,path,line,source PEs,target PEs,cardinalities,properties,source APIs,target APIs,commit URL,mig id
aiohttp,httpx,itzkvn/python-http-monitoring,790a4830785a2dd03686c57f5ec70a4bb1a41f22,app/targets.py,10-11:9-10,import,import,not applicable,,"aiohttp.ClientSession, aiohttp.client_exceptions.ClientConnectorError","httpx, httpx.ConnectTimeout, httpx.ConnectError",https://github.com/itzkvn/python-http-monitoring/commit/790a4830,aiohttp__httpx__itzkvn/python-http-monitoring__790a4830
aiohttp,httpx,itzkvn/python-http-monitoring,790a4830785a2dd03686c57f5ec70a4bb1a41f22,app/targets.py,53-55:52-55,function call,"function call, function call",one-to-many,element name change,get,"get, AsyncClient",https://github.com/itzkvn/python-http-monitoring/commit/790a4830,aiohttp__httpx__itzkvn/python-http-monitoring__790a4830
aiohttp,httpx,itzkvn/python-http-monitoring,790a4830785a2dd03686c57f5ec70a4bb1a41f22,app/targets.py,56:56,attribute,attribute,one-to-one,element name change,status,status_code,https://github.com/itzkvn/python-http-monitoring/commit/790a4830,aiohttp__httpx__itzkvn/python-http-monitoring__790a4830
aiohttp,httpx,itzkvn/python-http-monitoring,790a4830785a2dd03686c57f5ec70a4bb1a41f22,app/targets.py,57:57,exception,exception,one-to-one,element name change,ClientConnectorError,ConnectError,https://github.com/itzkvn/python-http-monitoring/commit/790a4830,aiohttp__httpx__itzkvn/python-http-monitoring__790a4830
aiohttp,httpx,itzkvn/python-http-monitoring,790a4830785a2dd03686c57f5ec70a4bb1a41f22,app/targets.py,60:60,exception,exception,one-to-one,element name change,TimeoutError,ConnectTimeout,https://github.com/itzkvn/python-http-monitoring/commit/790a4830,aiohttp__httpx__itzkvn/python-http-monitoring__790a4830
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/login.py,1:6,import,import,not applicable,,aiohttp,httpx,https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/login.py,33:37-38,function call,"function call, function call",one-to-many,"argument deletion, element name change",request,"get, AsyncClient",https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/login.py,37:44-45,function call,"function call, function call",one-to-many,"argument deletion, element name change",request,"get, AsyncClient",https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/login.py,34:41,function call,"attribute, function call",one-to-many,"argument deletion, async transformation, element name change",json,"encoding, json",https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/login.py,38:47-48,function call,"attribute, function call",one-to-many,"argument deletion, async transformation, element name change",json,"encoding, json",https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/utils.py,111:111-112,function call,"function call, function call",one-to-many,"argument deletion, element name change",request,"get, AsyncClient",https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/utils.py,112:113-114,function call,"attribute, function call",one-to-many,"argument deletion, async transformation, element name change",json,"encoding, json",https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,src/plugins/haruka_bot/utils.py,11:11,import,import,not applicable,,aiohttp,httpx,https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,snwmds/polemicbooksapi,69df5304ad4280033c0a01ac6631e69ba276d973,application.py,1337:1337,function call,function call,one-to-one,"argument addition, element name change",get,stream,https://github.com/snwmds/polemicbooksapi/commit/69df5304,aiohttp__httpx__snwmds/polemicbooksapi__69df5304
aiohttp,httpx,snwmds/polemicbooksapi,69df5304ad4280033c0a01ac6631e69ba276d973,application.py,16:16,import,import,not applicable,,aiohttp,httpx,https://github.com/snwmds/polemicbooksapi/commit/69df5304,aiohttp__httpx__snwmds/polemicbooksapi__69df5304
aiohttp,httpx,snwmds/polemicbooksapi,69df5304ad4280033c0a01ac6631e69ba276d973,application.py,2590-2592:2590,"function call, function call, function call",function call,many-to-one,"argument addition, argument deletion, element name change","AsyncResolver, ClientSession, TCPConnector",AsyncClient,https://github.com/snwmds/polemicbooksapi/commit/69df5304,aiohttp__httpx__snwmds/polemicbooksapi__69df5304
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,267-269:,function call,,one-to-zero,,ArgumentParser,,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,270-273:25-28,function call,decorator,one-to-one,"element name change, parameter addition to decorated function",add_argument,option,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,274:29,function call,decorator,one-to-one,"element name change, parameter addition to decorated function",add_argument,option,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,284:41,function call,decorator,one-to-one,"element name change, parameter addition to decorated function",add_argument,option,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,291-299:48-56,function call,decorator,one-to-one,"element name change, parameter addition to decorated function",add_argument,option,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,275-276:30-33,function call,"decorator, function call",one-to-many,"argument name change, argument transformation, element name change, parameter addition to decorated function",add_argument,"option, Choice",https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,277-283:34-40,function call,decorator,one-to-one,"argument transformation, element name change, parameter addition to decorated function",add_argument,option,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,285-289:42-46,function call,decorator,one-to-one,"argument addition, argument deletion, argument transformation, element name change, parameter addition to decorated function",add_argument,option,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,290:47,function call,decorator,one-to-one,"argument deletion, argument transformation, element name change, parameter addition to decorated function",add_argument,option,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,flow/compute_flow_sequences.py,3:3,import,import,not applicable,,argparse,click,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,adithyabsk/keep2roam,d340eea2fdedde8908334eda34325d058fc88282,convert.py,3:6,import,import,not applicable,,argparse,click,https://github.com/adithyabsk/keep2roam/commit/d340eea2,argparse__click__adithyabsk/keep2roam__d340eea2
argparse,click,adithyabsk/keep2roam,d340eea2fdedde8908334eda34325d058fc88282,convert.py,49-51:,function call,,one-to-zero,,ArgumentParser,,https://github.com/adithyabsk/keep2roam/commit/d340eea2,argparse__click__adithyabsk/keep2roam__d340eea2
argparse,click,adithyabsk/keep2roam,d340eea2fdedde8908334eda34325d058fc88282,convert.py,52-56:60,function call,"decorator, function call",one-to-many,"argument transformation, element name change, parameter addition to decorated function",add_argument,"argument, Path",https://github.com/adithyabsk/keep2roam/commit/d340eea2,argparse__click__adithyabsk/keep2roam__d340eea2
argparse,click,adithyabsk/keep2roam,d340eea2fdedde8908334eda34325d058fc88282,convert.py,57-61:61,function call,"decorator, function call",one-to-many,"argument transformation, element name change, parameter addition to decorated function",add_argument,"argument, Path",https://github.com/adithyabsk/keep2roam/commit/d340eea2,argparse__click__adithyabsk/keep2roam__d340eea2
