source MigLOC,target MigLOC,total MigLOC,mig,source NumAPIs,target NumAPIs,total NumAPIs,total NumChanges,source UniqueAPIs,target UniqueAPIs,total UniqueAPIs,total UniqueMappings
6,7,13,aiohttp__httpx__itzkvn/python-http-monitoring__790a4830,4,5,9,4,4,5,9,4
6,11,17,aiohttp__httpx__sk-415/harukabot__0611d16a,6,12,18,6,2,4,6,2
4,2,6,aiohttp__httpx__snwmds/polemicbooksapi__69df5304,4,2,6,2,4,2,6,2
33,32,65,argparse__click__achalddave/segment-any-moving__87160d02,9,9,18,9,2,2,4,3
14,3,17,argparse__click__adithyabsk/keep2roam__d340eea2,4,5,9,5,3,3,6,4
54,46,100,argparse__click__amesar/mlflow-tools__431737a8,54,46,100,62,3,2,5,4
3,2,5,argparse__click__ansible-community/molecule__b7d7740d,3,2,5,4,3,2,5,4
47,24,71,argparse__click__clearmatics/ion__03fb3a3a,30,25,55,34,5,5,10,7
97,36,133,argparse__click__godaddy/tartufo__553dc5fb,18,19,37,17,4,3,7,6
25,25,50,argparse__click__googlesamples/assistant-sdk-python__38e4e642,9,8,17,10,3,2,5,4
25,17,42,argparse__click__grahame/sedge__3badf078,8,7,15,9,3,3,6,5
5,4,9,argparse__click__himkt/pyner__76106a9a,5,4,9,6,3,2,5,4
4,2,6,argparse__click__klensy/wt-tools__760ff36b,3,1,4,3,3,1,4,3
40,20,60,argparse__click__kxr/o-must-gather__9da47229,32,22,54,32,6,6,12,10
22,11,33,argparse__click__lqez/hog__d722ade4,11,11,22,12,2,3,5,4
4,4,8,argparse__click__magnetotesting/magneto__a5c82b8f,4,4,8,6,3,3,6,5
53,29,82,argparse__click__martinthoma/hwrt__86bc433a,15,12,27,17,5,4,9,7
7,6,13,argparse__click__oca/maintainer-tools__69593ae6,7,6,13,8,3,3,6,5
14,12,26,argparse__click__terryyin/google-translate-python__ac375b49,5,4,9,6,3,2,5,4
52,31,83,argparse__click__yubico/yubioath-desktop__9d601b4f,28,29,57,34,5,6,11,11
8,8,16,argparse__configargparse__rocketmap/rocketmap__2960ec68,8,8,16,8,2,2,4,2
4,15,19,argparse__docopt__ceph/teuthology__fb321053,3,1,4,1,3,1,4,1
9,1,10,argparse__docopt__hootnot/oandapyv20-examples__e1df70e3,3,1,4,1,3,1,4,1
