,combination,# migs,% migs,comb size,what is with FC
1,function call -> function call | elemNC,21,8.203125,1,just function call with elemNC
2,function call -> function call | no properties,18,7.03125,1,just function call without properties
3,"function call -> function call | argTrans, elemNC",11,4.296875,1,"just function call with argument changes
just function call with elemNC"
4,"function call -> function call | argAdd, argDel, elemNC",8,3.125,1,"just function call with argument changes
just function call with elemNC"
5,"function call -> function call | elemNC, outTrans",4,1.5625,1,"just function call with elemNC
just function call with outTrans"
6,"function call -> function call | argDel, elemNC",4,1.5625,1,"just function call with argument changes
just function call with elemNC"
7,function call -> function call | argAdd,4,1.5625,1,just function call with argument changes
8,"function call -> function call | argAdd, elemNC",4,1.5625,1,"just function call with argument changes
just function call with elemNC"
9,function call -> function call | argTrans,4,1.5625,1,just function call with argument changes
10,decorator -> decorator | argTrans,3,1.171875,1,does not have function call
11,"function call -> function call | elemNC
function call -> function call | no properties",3,1.171875,2,just function call with elemNC
12,function call -> function call | argDel,3,1.171875,1,just function call with argument changes
13,"attribute -> attribute | no properties
function call -> function call | no properties",2,0.78125,2,attribute in different cc
14,"function call -> function call | argDel, elemNC
function call -> function call | elemNC",2,0.78125,2,"just function call with argument changes
just function call with elemNC"
15,"function call -> function call | argAdd, argDel, elemNC
function call -> function call | argAdd, elemNC",2,0.78125,2,"just function call with argument changes
just function call with elemNC"
16,"function call -> none | no properties
none -> function call | no properties",2,0.78125,2,just function call without properties
17,exception -> exception | elemNC,2,0.78125,1,does not have function call
18,"function call -> function call | argDel, argTrans, elemNC",2,0.78125,1,"just function call with argument changes
just function call with elemNC"
19,function call -> none | no properties,2,0.78125,1,just function call without properties
20,type -> type | elemNC,2,0.78125,1,does not have function call
21,"function call -> attribute | elemNC
function call -> function call | argAdd, elemNC",2,0.78125,2,attribute in same cc
22,"function call -> function call | asyncTrans
function call -> function call | asyncTrans, elemNC",2,0.78125,2,"just function call with asyncTrans
just function call with elemNC"
23,"exception -> exception | elemNC
function call -> function call | argAdd, elemNC",2,0.78125,2,exception in different cc
24,"function call -> function call | argAdd, argTrans, elemNC",2,0.78125,1,"just function call with argument changes
just function call with elemNC"
25,"function call -> function call | argAdd, elemNC
function call -> function call | elemNC",2,0.78125,2,"just function call with argument changes
just function call with elemNC"
26,"decorator -> decorator | no properties
function call -> function call | no properties",2,0.78125,2,decorator in different cc
