id,repo,commit,source,target,file path,lines,incomplete?,source APIs,target APIs,program element,cardinality,properties,commit URL,candidate source lines,candidate target lines,migration id,file id
A1,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,28:,,AddrFormatError,,import,one-to-zero,full statement replacement,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
A11,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,25:26,,IPNetwork,ipaddress,import,one-to-one,"module removed, object changed",https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A12,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,45:47,,IPNetwork,ip_interface,constructor/function call,one-to-one,argument transformation,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A13,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,46:48,,IPNetwork,ip_interface,constructor/function call,one-to-one,argument transformation,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A14,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,:48,,,network,attribute,zero-to-one,,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A15,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,"58-59:60-62,129-131",,IPNetwork,ip_interface,decorator,one-to-one,decorator name change,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A16,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,59:131,,netmask,"network, netmask",attribute,one-to-many,,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A17,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,"66-67:69,129-131",,IPNetwork,ip_interface,decorator,one-to-one,decorator name change,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A18,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,67:131,,netmask,"network, netmask",attribute,one-to-many,,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
A19,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,24:23,,netaddr,ipaddress,import,one-to-one,full statement replacement,https://github.com/ovirt/vdsm/commit/6eef802a,"24,51-52,56","23,52,56",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/sourceroute.py
A2,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,29:25,,IPAddress,ip_address,import,one-to-one,full statement replacement,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
A20,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,51-52:52,,IPNetwork,ip_interface,constructor/function call,one-to-one,argument transformation,https://github.com/ovirt/vdsm/commit/6eef802a,"24,51-52,56","23,52,56",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/sourceroute.py
A21,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,56:56,,IPAddress,ip_address,constructor/function call,one-to-one,argument transformation,https://github.com/ovirt/vdsm/commit/6eef802a,"24,51-52,56","23,52,56",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/sourceroute.py
A22,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,56:,,value,,attribute,one-to-zero,,https://github.com/ovirt/vdsm/commit/6eef802a,"24,51-52,56","23,52,56",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/sourceroute.py
A23,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/plugin.py,16:16,,openstackclient.common,osc_lib,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,16,16,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/plugin.py
A24,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/facet.py,20:20,,openstackclient.common,osc_lib,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,20,20,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/v1/facet.py
A25,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/resource_type.py,19:19,,openstackclient.common,osc_lib,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,19,19,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/v1/resource_type.py
A26,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/search.py,21:21,,openstackclient.common,osc_lib,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,21,21,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/v1/search.py
A27,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/analytics/tasks/licenses.py,3:2,,raven.contrib.django.raven_compat.models,sentry_sdk,import,one-to-one,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,"3,35","2,35",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/analytics/tasks/licenses.py
A28,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/auditing/runner.py,8:4,,raven.contrib.django.raven_compat.models,sentry_sdk,import,one-to-one,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,"8,142","4,142,144",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/auditing/runner.py
A29,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/auditing/runner.py,142:142-144,,captureException,"capture_exception, push_scope",function call,one-to-many,,https://github.com/kiwicom/the-zoo/commit/e22070c0,"8,142","4,142,144",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/auditing/runner.py
A3,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,30:26,,IPNetwork,ip_network,import,one-to-one,full statement replacement,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
A30,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,:13,,,sentry_sdk,import,,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
A31,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,:14,,,sentry_sdk.integrations.django,import,,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
A32,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,:231-233,,,init,function call,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
A33,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,120:,,raven.contrib.django.raven_compat,,list element,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
A34,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,135:,,raven.contrib.django.raven_compat.middleware.SentryResponseErrorIdMiddleware,,list element,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
A35,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/utils.py,4:,,raven,,import,,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,"4,11",,raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/utils.py
A36,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/utils.py,11:,,fetch_git_sha,,function call,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,"4,11",,raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/utils.py
