id,repo,commit,source,target,file path,lines,incomplete?,source APIs,target APIs,program element,cardinality,properties,commit URL,candidate source lines,candidate target lines,migration id,file id
S1,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,11:1,,docopt,argparse,import,one-to-one,module name change,https://github.com/deepspace2/styleframe/commit/ffc8d761,"11,71-72","1,60-62,65-67,69,71-72,74,78-79,82",docopt__argparse__deepspace2/styleframe__ffc8d761,docopt__argparse__deepspace2/styleframe__ffc8d761__StyleFrame/commandline.py
S2,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,"1-10,71:60-64,79-81,69",,docstring?;docopt.docopt,argparse.ArgumentParser;ArgumentParser.add_mutually_exclusive_group();ArgumentParser.add_argument();ArgumentParser.parse_args(),function call:function call,one-to-many,argument addition;argument deletion;function name change,https://github.com/deepspace2/styleframe/commit/ffc8d761,"11,71-72","1,60-62,65-67,69,71-72,74,78-79,82",docopt__argparse__deepspace2/styleframe__ffc8d761,docopt__argparse__deepspace2/styleframe__ffc8d761__StyleFrame/commandline.py
S3,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,"72:65-72,82",,,,,,,https://github.com/deepspace2/styleframe/commit/ffc8d761,"11,71-72","1,60-62,65-67,69,71-72,74,78-79,82",docopt__argparse__deepspace2/styleframe__ffc8d761,docopt__argparse__deepspace2/styleframe__ffc8d761__StyleFrame/commandline.py
S9,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,26-27:25,,gevent;gevent.lock,eventlet,import,many-to-one,module name change,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
S10,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,56:,,gevent.lock.Semaphore(),,function call,removal,,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
S11,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,58:77,,gevent.spawn(),eventlet.spawn(),function call,one-to-one,function name change,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
S4,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,,TRUE,,,,,,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
S20,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,11:11,,multiprocessing,multiprocess,import,one-to-one,module name change,https://github.com/jhsmit/colicoords/commit/a082ad56,"11,1297,1300-1301","111,297",multiprocessing__multiprocess__jhsmit/colicoords__a082ad56,multiprocessing__multiprocess__jhsmit/colicoords__a082ad56__colicoords/cell.py
S21,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,1297:1297,,multiprocessing.Pool,multiprocess.Pool,function call,one-to-one,argument addition,https://github.com/jhsmit/colicoords/commit/a082ad56,"11,1297,1300-1301","111,297",multiprocessing__multiprocess__jhsmit/colicoords__a082ad56,multiprocessing__multiprocess__jhsmit/colicoords__a082ad56__colicoords/cell.py
S14,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,1:2,,progressbar,tqdm,import,one-to-one,full statement replacement,https://github.com/rivuletstudio/rivuletpy/commit/52068adb,"1,63,73,284,294","2,64,72,248,288,296",progressbar__tqdm__rivuletstudio/rivuletpy__52068adb,progressbar__tqdm__rivuletstudio/rivuletpy__52068adb__rivuletpy/trace.py
