id 1,id 2,repo,commit,source,target,file path,lines,flag,R1 source APIs,R2 source APIs,agreed source API,R1 target APIs,R2 target APIs,agreed target APIs,R1 source program elements,R2 source program elements,agreed source program elements,R1 target program elements,R2 target program elements,agreed target program elements,R1 cardinality,R2 cardinality,agreed cardinality,R1 properties,R2 properties,agreed properties,R1 comments,R2 comments,R1,R2
M1,A1,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client.py,31:5,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M2,A2,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client.py,139:139,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M3,A3,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client.py,704:704,,evolve,attr.evolve,,replace,dataclasses.replace,,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,element name change,no properties,,,,moha,ajay
M4,A4,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,26:3,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M5,A5,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,89:89,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M6,A6,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,96:96,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M7,A7,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,148:144,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M8,A8,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_ws.py,7:4,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M9,A9,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_ws.py,30:30,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M10,A10,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/connector.py,31:2,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M11,A11,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/connector.py,1073:1072,,evolve,attr.evolve,,replace,dataclasses.replace,,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,element name change,no properties,,,,moha,ajay
M12,A12,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/helpers.py,45:7,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M13,A13,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/helpers.py,235:235,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M14,A14,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/helpers.py,272:272,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M15,A15,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,4:1,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
