id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines
S1,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,15:6,,ipaddr,netaddr,import,import,one-to-one,full statement replacement,,https://github.com/openstack/wsme//commit/002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr__netaddr__openstack/wsme__002473c0,ipaddr__netaddr__openstack/wsme__002473c0__wsme/types.py,"15,237-238,257-258","6,233-234,253-254"
S2,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,237:233,,IPv4Address,IPAddress,function call,function call,one-to-one,argument addition;element name change,,https://github.com/openstack/wsme//commit/002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr__netaddr__openstack/wsme__002473c0,ipaddr__netaddr__openstack/wsme__002473c0__wsme/types.py,"15,237-238,257-258","6,233-234,253-254"
S3,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,238:234,,AddressValueError,AddrFormatError,exception,exception,one-to-one,element name change,,https://github.com/openstack/wsme//commit/002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr__netaddr__openstack/wsme__002473c0,ipaddr__netaddr__openstack/wsme__002473c0__wsme/types.py,"15,237-238,257-258","6,233-234,253-254"
S4,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,257:253,,IPv4Address,IPAddress,function call,function call,one-to-one,argument addition,,https://github.com/openstack/wsme//commit/002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr__netaddr__openstack/wsme__002473c0,ipaddr__netaddr__openstack/wsme__002473c0__wsme/types.py,"15,237-238,257-258","6,233-234,253-254"
S5,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,258:254,,AddressValueError,AddrFormatError,exception,exception,one-to-one,element name change,,https://github.com/openstack/wsme//commit/002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr__netaddr__openstack/wsme__002473c0,ipaddr__netaddr__openstack/wsme__002473c0__wsme/types.py,"15,237-238,257-258","6,233-234,253-254"
S6,czheo/syntax_sugar_python,1dbc1d44855acd57f280cca03878681e8dc26b01,multiprocessing,multiprocess,syntax_sugar/pipe.py,3-4:3,,Pool;ThreadPool,Pool;ThreadPool,import,import,many-to-one,module name change,,https://github.com/czheo/syntax_sugar_python//commit/1dbc1d44855acd57f280cca03878681e8dc26b01,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44__syntax_sugar/pipe.py,"3-4,83,86-87","3,86,88,91,93,95"
S7,czheo/syntax_sugar_python,1dbc1d44855acd57f280cca03878681e8dc26b02,multiprocessing,multiprocess,syntax_sugar/pipe.py,83:88,,map,map,function call,function call,one-to-one,no properties,,https://github.com/czheo/syntax_sugar_python//commit/1dbc1d44855acd57f280cca03878681e8dc26b02,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44__syntax_sugar/pipe.py,,
S8,czheo/syntax_sugar_python,1dbc1d44855acd57f280cca03878681e8dc26b03,multiprocessing,multiprocess,syntax_sugar/pipe.py,86:91,,Pool,ThreadPool,function call,function call,one-to-one,element name change,,https://github.com/czheo/syntax_sugar_python//commit/1dbc1d44855acd57f280cca03878681e8dc26b03,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44__syntax_sugar/pipe.py,,
S9,czheo/syntax_sugar_python,1dbc1d44855acd57f280cca03878681e8dc26b04,multiprocessing,multiprocess,syntax_sugar/pipe.py,87:92-95,not MR,,,,,,,,https://github.com/czheo/syntax_sugar_python//commit/1dbc1d44855acd57f280cca03878681e8dc26b04,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44__syntax_sugar/pipe.py,,
S10,radremedy/radremedy,8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv,unicodecsv,remedy/data_importer/data_importer.py,8:8,,csv,unicodecsv,import,import,one-to-one,module name change,,https://github.com/radremedy/radremedy//commit/8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv__unicodecsv__radremedy/radremedy__8fa9b7fd,csv__unicodecsv__radremedy/radremedy__8fa9b7fd__remedy/data_importer/data_importer.py,"8,19,31","8,27,45"
S11,radremedy/radremedy,8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv,unicodecsv,remedy/data_importer/data_importer.py,19:27,,reader,reader,function call,function call,one-to-one,no properties,,https://github.com/radremedy/radremedy//commit/8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv__unicodecsv__radremedy/radremedy__8fa9b7fd,csv__unicodecsv__radremedy/radremedy__8fa9b7fd__remedy/data_importer/data_importer.py,,
S12,radremedy/radremedy,8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv,unicodecsv,remedy/data_importer/data_importer.py,31:45,,DictReader,DictReader,function call,function call,one-to-one,no properties,,https://github.com/radremedy/radremedy//commit/8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv__unicodecsv__radremedy/radremedy__8fa9b7fd,csv__unicodecsv__radremedy/radremedy__8fa9b7fd__remedy/data_importer/data_importer.py,,
S13,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,4:4,,csv,unicodecsv,import,import,one-to-one,module name change,,https://github.com/ckan/ckanext-datapackager//commit/a6a3fb3aaa48790365430740686de2019ff0076a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a__ckanext/datapackager/lib/helpers.py,"4,73,75,79","4,73,75,79"
S14,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,73:73,,Sniffer,Sniffer,function call,function call,one-to-one,no properties,,https://github.com/ckan/ckanext-datapackager//commit/a6a3fb3aaa48790365430740686de2019ff0076a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a__ckanext/datapackager/lib/helpers.py,,
S15,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,75:75,,reader,reader,function call,function call,one-to-one,no properties,,https://github.com/ckan/ckanext-datapackager//commit/a6a3fb3aaa48790365430740686de2019ff0076a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a__ckanext/datapackager/lib/helpers.py,,
S16,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,79:79,,Error,Error,exception,exception,one-to-one,no properties,,https://github.com/ckan/ckanext-datapackager//commit/a6a3fb3aaa48790365430740686de2019ff0076a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a__ckanext/datapackager/lib/helpers.py,,
S17,fedora-infra/python-fedora,aca2a20a5c1a889eed655f36ef1bf28dd32c3145,bunch,munch,fedora/client/__init_.py,33:33,,Bunch,Munch,import,import,one-to-one,full statement replacement,,https://github.com/fedora-infra/python-fedora//commit/aca2a20a5c1a889eed655f36ef1bf28dd32c3145,bunch__munch__fedora-infra/python-fedora__aca2a20a,bunch__munch__fedora-infra/python-fedora__aca2a20a__fedora/client/__init_.py,"31,403,702,741","31,403,702,741"
S18,fedora-infra/python-fedora,aca2a20a5c1a889eed655f36ef1bf28dd32c3145,bunch,munch,fedora/client/__init_.py,111:111,,Bunch,Munch,class object,class object,one-to-one,no properties,,https://github.com/fedora-infra/python-fedora//commit/aca2a20a5c1a889eed655f36ef1bf28dd32c3145,bunch__munch__fedora-infra/python-fedora__aca2a20a,bunch__munch__fedora-infra/python-fedora__aca2a20a__fedora/client/__init_.py,"31,403,702,741","31,403,702,741"
