id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines
M1,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,3:4,,import bcrypt,from passlib.hash import bcrypt,import,import,one-to-one,no properties,,https://github.com/twiliodeved/sms2fa-flask/commit/22eedfcd1ef701a4283505762660146b57b26304,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd__sms2fa_flask/models.py,"3,26-27,31-32","4,26,29"
M2,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,26-27:26,unsure,,,,,,,replaces algorithm with function,https://github.com/twiliodeved/sms2fa-flask/commit/22eedfcd1ef701a4283505762660146b57b26304,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd__sms2fa_flask/models.py,"3,26-27,31-32","4,26,29"
M3,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,30-31:29,,hashpw; gensalt,encrypt,function call,function call,many-to-one,argument transformation; argument deletion,"the transformation is ""undone""",https://github.com/twiliodeved/sms2fa-flask/commit/22eedfcd1ef701a4283505762660146b57b26304,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd__sms2fa_flask/models.py,"3,26-27,31-32","4,26,29"
M4,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,7:6,,"from bottle import Bottle, request, abort","from flask import Flask, request, abort, jsonify",import,import,many-to-many,no properties,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,"7,68-69,84,88-89,97,111","6,67-68,83,87,89-90,98,112-113"
M5,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,68:67,,Bottle,Flask,function call,function call,one-to-one,argument addition; element name change,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,
M6,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,69:68,,post,route,function call,function call,one-to-one,element name change; argument addition,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,
M7,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,84:83,,read,get_data,function call,function call,one-to-one,element name change,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,
M8,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,88:89,,get,get,function call,function call,one-to-one,no properties,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,
M9,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,97:98,,get,get,function call,function call,one-to-one,no properties,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,
M10,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,111:112-113,unsure,,,,,,,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,
M11,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,"2,6:9",,"import bottle; from bottle import route, run, send_file","from flask import Flask, make_response",import,import,many-to-many,no properties,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,"2,6,14,16,18,20,27,47,50","9-11,17,19-21,23,29"
M12,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,47:10,,default_app,Flask,function call,function call,one-to-one,argument addition; element name change,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,
M13,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,:11,not MR,,,,,,,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,
M14,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,14:,not MR,,,,,,,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,
M15,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,16:,not MR,,,,,,,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,
M16,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,18:17,,route,route,decorator,decorator,one-to-one,no properties,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,
M17,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,20:19-21,,send_file,make_response; header,function call,attribute access; function call,one-to-many,argument transformation,"in the source lib, they pass file name and directory, while in the target lib, they pass teh file content. Therefore, I consider it as an argument tranformation",https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,
M18,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,27:27,,import bottle,import flask,import,import,one-to-one,no properties,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,"27,47,93-94,98-99","27,47,93-94,98-99,127"
M19,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,47:47,,Bottle,Flask,function call,function call,one-to-one,argument addition; element name change,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,
M20,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,93:93,,static_file,send_from_directory,function call,function call,one-to-one,argument name deletion; element name change; argument order change,new property,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,
M21,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,94:94,,HTTPError,abort,function call,function call,one-to-one,element name change,"there is an argument deletion, however, probably not migration related",https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,
M22,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,98:98,,route,add_url_rule,function call,function call,one-to-one,element name change; argument addition,the argument addition may not be migration related,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,
M23,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,99:99,,route,add_url_rule,function call,function call,one-to-one,element name change; argument addition,the argument addition may not be migration related,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,
