source,target,repo,commit,# ccs,# files,source PEs,target PEs,properties,# PE,# props,commit URL,id
aiohttp,httpx,itzkvn/python-http-monitoring,790a4830785a2dd03686c57f5ec70a4bb1a41f22,4,1,"attribute, exception, function call","attribute, exception, function call",element name change,3,1,https://github.com/itzkvn/python-http-monitoring/commit/790a4830,aiohttp__httpx__itzkvn/python-http-monitoring__790a4830
aiohttp,httpx,sk-415/harukabot,0611d16a4cdc3f472b2c5fb265b8728e9a505d74,6,2,function call,"attribute, function call","argument deletion, async transformation, element name change",2,3,https://github.com/sk-415/harukabot/commit/0611d16a,aiohttp__httpx__sk-415/harukabot__0611d16a
aiohttp,httpx,snwmds/polemicbooksapi,69df5304ad4280033c0a01ac6631e69ba276d973,2,1,function call,function call,"argument addition, argument deletion, element name change",1,3,https://github.com/snwmds/polemicbooksapi/commit/69df5304,aiohttp__httpx__snwmds/polemicbooksapi__69df5304
argparse,click,achalddave/segment-any-moving,87160d02c8652eebf2d8a5dce572e26fa2d1ca61,9,1,function call,"decorator, function call","argument addition, argument deletion, argument name change, argument transformation, element name change, parameter addition to decorated function",2,6,https://github.com/achalddave/segment-any-moving/commit/87160d02,argparse__click__achalddave/segment-any-moving__87160d02
argparse,click,adithyabsk/keep2roam,d340eea2fdedde8908334eda34325d058fc88282,5,1,function call,"decorator, function call","argument transformation, element name change, parameter addition to decorated function",2,3,https://github.com/adithyabsk/keep2roam/commit/d340eea2,argparse__click__adithyabsk/keep2roam__d340eea2
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,62,8,function call,decorator,"argument addition, argument deletion, element name change, parameter addition to decorated function",2,4,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,ansible-community/molecule,b7d7740db482624182dd6c31600ca1c09669cfc5,4,1,function call,decorator,"argument addition, element name change",2,2,https://github.com/ansible-community/molecule/commit/b7d7740d,argparse__click__ansible-community/molecule__b7d7740d
argparse,click,clearmatics/ion,03fb3a3a307640d2fc0d4481cc3c529c8661b55c,34,4,function call,"decorator, function call","argument addition, argument deletion, argument name change, argument transformation, element name change, parameter addition to decorated function",2,6,https://github.com/clearmatics/ion/commit/03fb3a3a,argparse__click__clearmatics/ion__03fb3a3a
argparse,click,godaddy/tartufo,553dc5fb7ddef597cafda451954fa4cba23acde6,17,1,function call,"decorator, function call","argument addition, argument deletion, argument transformation, element name change, parameter addition to decorated function",2,5,https://github.com/godaddy/tartufo/commit/553dc5fb,argparse__click__godaddy/tartufo__553dc5fb
argparse,click,googlesamples/assistant-sdk-python,38e4e642cbfc2b0dd5ddf0151e87a867273f9a30,10,1,function call,decorator,"argument addition, argument deletion, argument transformation, element name change",2,4,https://github.com/googlesamples/assistant-sdk-python/commit/38e4e642,argparse__click__googlesamples/assistant-sdk-python__38e4e642
argparse,click,grahame/sedge,3badf078e2f4153db161cada1c7a23901e36ab7f,9,1,function call,decorator,"argument addition, argument deletion, element name change, parameter addition to decorated function",2,4,https://github.com/grahame/sedge/commit/3badf078,argparse__click__grahame/sedge__3badf078
