id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines,7,7
A1,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,3:4,,import bcrypt,from passlib.hash import bcrypt,import,import,one-to-one,no properties,,https://github.com/twiliodeved/sms2fa-flask/commit/22eedfcd1ef701a4283505762660146b57b26304,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd__sms2fa_flask/models.py,"3,26-27,31-32","4,26,29",,
A2,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,26-27:26,,hashpw,verify,function call,function call,one-to-one,argument transformation; element name change,,https://github.com/twiliodeved/sms2fa-flask/commit/22eedfcd1ef701a4283505762660146b57b26304,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd__sms2fa_flask/models.py,"3,26-27,31-32","4,26,29",,
A3,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,30-31:29,,hashpw,encrypt,function call,function call,one-to-one,argument transformation; argument deletion; element name change,,https://github.com/twiliodeved/sms2fa-flask/commit/22eedfcd1ef701a4283505762660146b57b26304,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd__sms2fa_flask/models.py,"3,26-27,31-32","4,26,29",,
A4,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,7:6,,"from bottle import Bottle, request, abort","from flask import Flask, request, abort, jsonify",import,import,one-to-one,no properties,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,"7,68-69,84,88-89,97,111","6,67-68,83,87,89-90,98,112-113",,
A5,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,68:67,,Bottle,Flask,function call,function call,one-to-one,argument addition; element name change,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,,,
A6,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,69:68,,post,route,function call,function call,one-to-one,argument addition; element name change,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,,,
A7,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,84:83,,read,get_data,function call,function call,one-to-one,element name change,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,,,
A8,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,88:89,,get,get,function call,function call,one-to-one,no properties,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,,,
A9,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,97:98,,get,get,function call,function call,one-to-one,no properties,,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,,,
A10,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,:113,,,jsonify,no program element,function call,zero-to-one,no properties,source line is 111,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle__flask__cqmoe/python-cqhttp__f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py,,,,
A11,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,2:11,,csv,unicodecsv,import,import,one-to-one,no properties,,https://github.com/mlsecproject/combine/commit/efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv__unicodecsv__mlsecproject/combine__efe20ac0,csv__unicodecsv__mlsecproject/combine__efe20ac0__baler.py,"2,67,78,89,100","11,67,78,89,100",,
A12,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,67:67,,writer,writer,function call,function call,one-to-one,no properties,,https://github.com/mlsecproject/combine/commit/efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv__unicodecsv__mlsecproject/combine__efe20ac0,csv__unicodecsv__mlsecproject/combine__efe20ac0__baler.py,,,,
A13,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,78:78,,writer,writer,function call,function call,one-to-one,no properties,,https://github.com/mlsecproject/combine/commit/efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv__unicodecsv__mlsecproject/combine__efe20ac0,csv__unicodecsv__mlsecproject/combine__efe20ac0__baler.py,,,,
A14,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,89:89,,writer,writer,function call,function call,one-to-one,no properties,,https://github.com/mlsecproject/combine/commit/efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv__unicodecsv__mlsecproject/combine__efe20ac0,csv__unicodecsv__mlsecproject/combine__efe20ac0__baler.py,,,,
A15,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,100:100,,writer,writer,function call,function call,one-to-one,no properties,,https://github.com/mlsecproject/combine/commit/efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv__unicodecsv__mlsecproject/combine__efe20ac0,csv__unicodecsv__mlsecproject/combine__efe20ac0__baler.py,,,,
A16,blaze/distributed,6dc1f3f202fbef0e530b7e89c300e4f4d59dbc30,dill,cloudpickle,distributed/core.py,10-11:11,,"import dill; from dill import loads, dumps",import pickle,import,import,many-to-one,no properties,,https://github.com/blaze/distributed/commit/6dc1f3f202fbef0e530b7e89c300e4f4d59dbc30,dill__cloudpickle__blaze/distributed__6dc1f3f2,dill__cloudpickle__blaze/distributed__6dc1f3f2__distributed/core.py,"10-11,19","11,21,24",,
A17,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,13:13,,leveldb,plyvel,import,import,one-to-one,no properties,,https://github.com/ethereum/py-evm/commit/5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb__plyvel__ethereum/py-evm__5c273fff,leveldb__plyvel__ethereum/py-evm__5c273fff__evm/db/backends/level.py,"13,18,22,25,29,32","13,18,21,27,30,33",,
A18,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,18:18,,LevelDB,DB,function call,function call,one-to-one,element name change,,https://github.com/ethereum/py-evm/commit/5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb__plyvel__ethereum/py-evm__5c273fff,leveldb__plyvel__ethereum/py-evm__5c273fff__evm/db/backends/level.py,,,,
A19,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,25:27,,Put,put,function call,function call,one-to-one,element name change,,https://github.com/ethereum/py-evm/commit/5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb__plyvel__ethereum/py-evm__5c273fff,leveldb__plyvel__ethereum/py-evm__5c273fff__evm/db/backends/level.py,,,,
A20,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,29:30,,Get,get,function call,function call,one-to-one,element name change; argument deletion,,https://github.com/ethereum/py-evm/commit/5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb__plyvel__ethereum/py-evm__5c273fff,leveldb__plyvel__ethereum/py-evm__5c273fff__evm/db/backends/level.py,,,,
A21,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,32:33,,Delete,delete,function call,function call,one-to-one,element name change,,https://github.com/ethereum/py-evm/commit/5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb__plyvel__ethereum/py-evm__5c273fff,leveldb__plyvel__ethereum/py-evm__5c273fff__evm/db/backends/level.py,,,,
A22,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,30:35-39,,from M2Crypto import X509,from cryptography import x509; from cryptography.exceptions import InvalidSignature; from cryptography.hazmat.backends import default_backend; from cryptography.hazmat.primitives.asymmetric import padding; from cryptography.x509.oid import NameOID,import,import,one-to-many,no properties,,https://github.com/yubico/python-u2flib-server/commit/65c46657d50fb2d38036b4533806d36997cedac5,m2crypto__cryptography__yubico/python-u2flib-server__65c46657,m2crypto__cryptography__yubico/python-u2flib-server__65c46657__u2flib_server/attestation/resolvers.py,"30,65-66,73-74","35-39,69-70,77-78,81-83,85,90,94,97",,
A23,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,65:69,,load_cert_der_string,load_pem_x509_certificate,function call,function call,one-to-one,element name change; argument transformation; argument addition,,https://github.com/yubico/python-u2flib-server/commit/65c46657d50fb2d38036b4533806d36997cedac5,m2crypto__cryptography__yubico/python-u2flib-server__65c46657,m2crypto__cryptography__yubico/python-u2flib-server__65c46657__u2flib_server/attestation/resolvers.py,,,,
A24,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,66:70,,get_subject; as_text,get_attributes_for_oid,function call,function call,many-to-one,argument addition,,https://github.com/yubico/python-u2flib-server/commit/65c46657d50fb2d38036b4533806d36997cedac5,m2crypto__cryptography__yubico/python-u2flib-server__65c46657,m2crypto__cryptography__yubico/python-u2flib-server__65c46657__u2flib_server/attestation/resolvers.py,,,,
A25,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,73:94,,get_issuer; as_text,get_attributes_for_oid,function call,function call,many-to-one,argument addition,,https://github.com/yubico/python-u2flib-server/commit/65c46657d50fb2d38036b4533806d36997cedac5,m2crypto__cryptography__yubico/python-u2flib-server__65c46657,m2crypto__cryptography__yubico/python-u2flib-server__65c46657__u2flib_server/attestation/resolvers.py,,,,
A26,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,74:,,verify,,function call,,one-to-zero,,replaced with developer's defined function,https://github.com/yubico/python-u2flib-server/commit/65c46657d50fb2d38036b4533806d36997cedac5,m2crypto__cryptography__yubico/python-u2flib-server__65c46657,m2crypto__cryptography__yubico/python-u2flib-server__65c46657__u2flib_server/attestation/resolvers.py,,,,
A27,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,2:2,,import pyquery,from bs4 import BeautifulSoup,import,import,one-to-one,no properties,,https://github.com/idan/telostats/commit/f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery__beautifulsoup4__idan/telostats__f73354ab,pyquery__beautifulsoup4__idan/telostats__f73354ab__telostats/stations/tasks.py,"2,17-18,20,33-34","2,19-20,22,36-37",,
A28,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,17-18:18-19,,PyQuery,BeautifulSoup; find_all,function call,function call,one-to-many,argument transformation; argument addition,,https://github.com/idan/telostats/commit/f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery__beautifulsoup4__idan/telostats__f73354ab,pyquery__beautifulsoup4__idan/telostats__f73354ab__telostats/stations/tasks.py,,,,
A29,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,33-34:35-36,,PyQuery,BeautifulSoup; find_all; get_text,function call,function call,one-to-many,argument transformation,,https://github.com/idan/telostats/commit/f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery__beautifulsoup4__idan/telostats__f73354ab,pyquery__beautifulsoup4__idan/telostats__f73354ab__telostats/stations/tasks.py,,,,
